accident_id,latitude,longitude,date_time,road_segment_id,road_name,accident_severity,weather_condition,time_of_day,traffic_density,road_type,num_lanes,has_intersection,has_curve,is_peak_hour,risk_score
104,18.767958,79.488958,2023-09-16 20:22:34,RS_012,Rajiv Highway (SH-1),High,Heavy Rain,Evening,High,Highway,5,False,False,True,0.7344
105,18.558212,79.292638,2023-09-17 07:18:02,RS_056,Dharmaram Road,Low,Clear,Morning,Low,Local,2,False,True,True,0.2657
106,18.630731,79.39217,2023-09-17 17:54:10,RS_001,Rajiv Highway (SH-1),Medium,Clear,Evening,High,Highway,6,False,True,True,0.5504
107,18.711392,79.464819,2023-09-18 21:19:06,RS_006,Rajiv Highway (SH-1),High,Rain,Night,High,Highway,6,False,True,False,0.6589
108,18.724512,79.399486,2023-09-20 17:24:56,RS_035,Godavarikhani Road,Medium,Clear,Evening,Medium,Arterial,3,False,False,False,0.2809
109,18.736699,79.516997,2023-09-27 18:11:20,RS_008,Rajiv Highway (SH-1),High,Rain,Evening,Medium,Highway,5,True,False,False,0.704
110,18.73517,79.526333,2023-09-29 05:20:27,RS_009,Rajiv Highway (SH-1),High,Heavy Rain,Night,Low,Highway,4,False,False,False,0.7121
111,18.590169,79.273995,2023-09-29 21:31:58,RS_017,SH-1 Peddapalli-Karimnagar,Medium,Clear,Night,Low,Highway,4,False,False,False,0.4829
112,18.707543,79.36034,2023-10-02 09:17:13,RS_034,Godavarikhani Road,Medium,Clear,Morning,Low,Arterial,2,False,False,False,0.3836
113,18.606337,79.358107,2023-10-06 13:37:09,RS_059,Peddapalli Ring Road,Low,Fog,Afternoon,Medium,Arterial,4,False,False,False,0.2823
114,18.704193,79.457625,2023-10-07 21:46:17,RS_006,Rajiv Highway (SH-1),High,Clear,Night,Medium,Highway,6,False,True,False,0.4854
115,18.659701,79.409589,2023-10-16 07:25:07,RS_003,Rajiv Highway (SH-1),Medium,Clear,Morning,Medium,Highway,6,False,False,False,0.2894
116,18.607695,79.360293,2023-10-18 08:04:33,RS_059,Peddapalli Ring Road,Low,Clear,Morning,High,Arterial,4,False,False,True,0.3878
117,18.606878,79.360397,2023-10-19 10:01:11,RS_059,Peddapalli Ring Road,Low,Clear,Morning,Low,Arterial,4,False,False,False,0.199
118,18.638669,79.394708,2023-10-20 20:15:10,RS_061,Peddapalli North Link,High,Clear,Evening,Medium,Arterial,2,True,True,False,0.5203
119,18.570514,79.218407,2023-10-20 21:14:14,RS_019,SH-1 Peddapalli-Karimnagar,Medium,Clear,Night,Low,Highway,4,False,True,False,0.3982
120,18.668122,79.333599,2023-10-22 21:42:13,RS_029,SH-7,Low,Heavy Rain,Night,Medium,Highway,4,False,False,False,0.6352
121,18.718141,79.389568,2023-10-23 09:58:15,RS_035,Godavarikhani Road,Medium,Heavy Rain,Morning,Medium,Arterial,3,False,False,False,0.5212
122,18.655518,79.408072,2023-10-24 05:21:17,RS_002,Rajiv Highway (SH-1),High,Clear,Night,Medium,Highway,4,False,False,False,0.4142
123,18.662178,79.544482,2023-10-24 09:02:59,RS_051,Manthani Road,Low,Rain,Morning,Medium,Arterial,2,True,False,False,0.3655
124,18.614534,79.380123,2023-10-25 20:11:17,RS_058,Peddapalli Ring Road,Low,Clear,Evening,High,Arterial,4,False,False,True,0.402
125,18.658536,79.408477,2023-10-31 18:09:00,RS_002,Rajiv Highway (SH-1),Medium,Rain,Evening,Low,Highway,4,False,False,False,0.4881
126,18.646263,79.396369,2023-11-06 23:12:01,RS_031,Godavarikhani Road,Low,Fog,Night,Medium,Arterial,2,True,False,False,0.5604
127,18.599566,79.336536,2023-11-07 23:16:09,RS_020,Karimnagar-Peddapalli Bypass,Low,Clear,Night,Medium,Highway,6,False,False,False,0.3492
128,18.68346,79.422321,2023-11-08 22:09:20,RS_004,Rajiv Highway (SH-1),Low,Clear,Night,Low,Highway,6,True,False,False,0.4945
129,18.741598,79.502891,2023-11-10 19:20:58,RS_042,Basanthnagar Road,Low,Heavy Rain,Evening,Medium,Arterial,2,False,True,False,0.5692
130,18.587256,79.335344,2023-11-11 00:07:58,RS_054,Dharmaram Road,Medium,Fog,Night,High,Local,2,False,False,True,0.4796
131,18.596535,79.313259,2023-11-18 12:28:46,RS_021,Karimnagar-Peddapalli Bypass,Medium,Rain,Afternoon,Low,Highway,6,False,True,False,0.5072
132,18.725355,79.495289,2023-11-22 08:50:06,RS_008,Rajiv Highway (SH-1),Medium,Clear,Morning,Low,Highway,5,True,False,False,0.5997
133,18.745851,79.492563,2023-11-22 14:58:43,RS_042,Basanthnagar Road,High,Fog,Afternoon,High,Arterial,2,False,True,True,0.5133
134,18.748747,79.527366,2023-11-24 06:59:56,RS_010,Rajiv Highway (SH-1),High,Clear,Morning,Low,Highway,4,False,False,True,0.5439
135,18.583841,79.278388,2023-11-24 08:39:55,RS_023,Karimnagar-Peddapalli Bypass,Low,Clear,Morning,Medium,Highway,5,False,False,True,0.4404
136,18.695804,79.441672,2023-11-25 15:17:48,RS_005,Rajiv Highway (SH-1),Medium,Rain,Afternoon,Medium,Highway,4,False,False,False,0.378
137,18.603086,79.324281,2023-11-28 17:13:34,RS_015,SH-1 Peddapalli-Karimnagar,Medium,Fog,Evening,High,Highway,4,False,False,False,0.4965
138,18.7387,79.501197,2023-12-04 21:43:23,RS_042,Basanthnagar Road,Medium,Clear,Night,High,Arterial,2,False,True,False,0.4382
139,18.595251,79.320611,2023-12-06 13:31:47,RS_021,Karimnagar-Peddapalli Bypass,High,Fog,Afternoon,High,Highway,6,False,True,True,0.5434
140,18.707807,79.458796,2023-12-06 20:35:52,RS_006,Rajiv Highway (SH-1),Low,Heavy Rain,Evening,Medium,Highway,6,False,True,False,0.6238
141,18.727999,79.503172,2023-12-09 17:13:19,RS_008,Rajiv Highway (SH-1),High,Clear,Evening,Medium,Highway,5,True,False,False,0.5609
142,18.715789,79.469403,2023-12-13 16:38:30,RS_006,Rajiv Highway (SH-1),Medium,Fog,Afternoon,Medium,Highway,6,False,True,False,0.5417
143,18.741231,79.534746,2023-12-13 19:08:29,RS_044,Basanthnagar Road,Medium,Fog,Evening,Low,Arterial,2,False,False,True,0.5397
144,18.778268,79.452076,2023-12-21 22:17:46,RS_039,Ramagundam Road,Low,Clear,Night,Medium,Arterial,3,False,True,False,0.4066
145,18.764586,79.466009,2023-12-23 20:22:37,RS_038,Ramagundam Road,High,Heavy Rain,Evening,High,Arterial,3,False,True,False,0.5227
146,18.755484,79.51218,2024-01-02 11:02:32,RS_011,Rajiv Highway (SH-1),High,Rain,Morning,Medium,Highway,4,True,True,False,0.7909
147,18.731525,79.506923,2024-01-07 08:15:17,RS_008,Rajiv Highway (SH-1),Low,Clear,Morning,High,Highway,5,True,False,True,0.6162
148,18.728887,79.405684,2024-01-07 09:40:38,RS_035,Godavarikhani Road,Low,Rain,Morning,High,Arterial,3,False,False,True,0.5562
149,18.743443,79.527565,2024-01-07 21:48:32,RS_044,Basanthnagar Road,Medium,Fog,Night,Low,Arterial,2,False,False,False,0.4605
150,18.599939,79.347337,2024-01-09 18:02:43,RS_053,Dharmaram Road,Medium,Heavy Rain,Evening,Low,Local,2,True,True,False,0.3717
151,18.734351,79.524193,2024-01-14 04:13:37,RS_043,Basanthnagar Road,Medium,Heavy Rain,Night,High,Arterial,2,False,False,False,0.6158
152,18.637789,79.35922,2024-01-16 19:29:04,RS_027,SH-7,Medium,Fog,Evening,Low,Highway,4,False,False,False,0.4559
153,18.59851,79.347609,2024-01-21 15:48:17,RS_053,Dharmaram Road,Medium,Clear,Afternoon,Low,Local,2,True,True,False,0.4142
154,18.628281,79.36516,2024-01-23 13:48:53,RS_026,SH-7,Medium,Clear,Afternoon,Medium,Highway,4,True,False,False,0.3741
155,18.76195,79.46914,2024-01-24 05:15:24,RS_038,Ramagundam Road,Medium,Fog,Night,Medium,Arterial,3,False,True,False,0.57
156,18.671871,79.417655,2024-01-24 07:07:00,RS_003,Rajiv Highway (SH-1),Low,Clear,Morning,High,Highway,6,False,False,True,0.3573
157,18.630659,79.43895,2024-01-26 03:53:17,RS_047,Manthani Road,Low,Heavy Rain,Night,Medium,Arterial,2,False,False,True,0.5587
158,18.574687,79.225592,2024-01-28 23:41:17,RS_019,SH-1 Peddapalli-Karimnagar,Medium,Fog,Night,Medium,Highway,4,False,True,False,0.6423
159,18.618318,79.382353,2024-02-03 16:52:49,RS_026,SH-7,Low,Clear,Afternoon,High,Highway,4,True,False,False,0.2582
160,18.642382,79.474833,2024-02-06 18:43:57,RS_049,Manthani Road,Medium,Rain,Evening,Low,Arterial,2,False,True,True,0.5779
161,18.581944,79.243595,2024-02-13 03:18:10,RS_018,SH-1 Peddapalli-Karimnagar,Low,Rain,Night,Medium,Highway,4,False,False,True,0.526
162,18.753116,79.458277,2024-02-13 17:57:01,RS_037,Godavarikhani Road,High,Rain,Evening,Medium,Arterial,4,False,False,False,0.4127
163,18.676582,79.336852,2024-02-14 11:47:52,RS_029,SH-7,Low,Clear,Morning,Medium,Highway,4,False,False,True,0.3424
164,18.709496,79.372034,2024-02-16 23:01:31,RS_034,Godavarikhani Road,Medium,Clear,Night,Medium,Arterial,2,False,False,False,0.338
165,18.698438,79.35033,2024-02-17 21:13:33,RS_030,SH-7,Medium,Clear,Night,High,Highway,4,False,False,True,0.4213
166,18.683392,79.343712,2024-02-22 06:21:51,RS_030,SH-7,Low,Rain,Morning,Medium,Highway,4,False,False,True,0.4298
167,18.64691,79.49265,2024-02-22 08:19:17,RS_049,Manthani Road,Medium,Fog,Morning,High,Arterial,2,False,True,False,0.3767
168,18.666081,79.375941,2024-02-22 11:42:06,RS_032,Godavarikhani Road,Low,Clear,Morning,Medium,Arterial,2,True,False,True,0.3244
169,18.686044,79.427765,2024-02-29 20:15:29,RS_004,Rajiv Highway (SH-1),High,Clear,Evening,Medium,Highway,6,True,False,True,0.5622
170,18.663948,79.411345,2024-03-06 19:12:09,RS_003,Rajiv Highway (SH-1),Low,Clear,Evening,Medium,Highway,6,False,False,True,0.4469
171,18.779577,79.44883,2024-03-09 19:01:07,RS_013,Rajiv Highway (SH-1),High,Clear,Evening,Low,Highway,6,True,False,False,0.6737
172,18.709044,79.461593,2024-03-13 20:10:52,RS_006,Rajiv Highway (SH-1),High,Rain,Evening,High,Highway,6,False,True,True,0.7171
173,18.732572,79.515469,2024-03-18 10:49:13,RS_008,Rajiv Highway (SH-1),Medium,Clear,Morning,Medium,Highway,5,True,False,False,0.5649
174,18.644722,79.348495,2024-03-18 20:56:08,RS_027,SH-7,Low,Clear,Evening,Medium,Highway,4,False,False,False,0.2874
175,18.675345,79.416151,2024-03-20 22:24:41,RS_003,Rajiv Highway (SH-1),Low,Fog,Night,Medium,Highway,6,False,False,False,0.5736
176,18.737972,79.522879,2024-03-22 09:24:26,RS_043,Basanthnagar Road,Low,Clear,Morning,High,Arterial,2,False,False,False,0.3295
177,18.590877,79.264124,2024-03-23 07:26:40,RS_017,SH-1 Peddapalli-Karimnagar,Low,Clear,Morning,Medium,Highway,4,False,False,False,0.3233
178,18.592049,79.280678,2024-03-24 20:20:30,RS_016,SH-1 Peddapalli-Karimnagar,High,Rain,Evening,High,Highway,4,False,False,True,0.6414
179,18.774146,79.464038,2024-03-28 20:17:56,RS_013,Rajiv Highway (SH-1),Medium,Rain,Evening,High,Highway,6,True,False,True,0.8149
180,18.58376,79.243028,2024-04-02 10:16:56,RS_018,SH-1 Peddapalli-Karimnagar,Low,Clear,Morning,High,Highway,4,False,False,True,0.3863
181,18.588442,79.265457,2024-04-04 11:24:43,RS_017,SH-1 Peddapalli-Karimnagar,Medium,Clear,Morning,Low,Highway,4,False,False,False,0.2254
182,18.689889,79.357077,2024-04-04 15:17:00,RS_033,Godavarikhani Road,Medium,Heavy Rain,Afternoon,Medium,Arterial,2,False,False,False,0.5168
183,18.732191,79.512882,2024-04-08 20:34:24,RS_008,Rajiv Highway (SH-1),Medium,Clear,Evening,Low,Highway,5,True,False,False,0.5734
184,18.727607,79.403625,2024-04-11 00:44:10,RS_035,Godavarikhani Road,Medium,Clear,Night,High,Arterial,3,False,False,True,0.5117
185,18.647016,79.404039,2024-04-11 02:11:25,RS_002,Rajiv Highway (SH-1),Medium,Clear,Night,Low,Highway,4,False,False,False,0.4268
186,18.736706,79.50669,2024-04-12 19:04:50,RS_042,Basanthnagar Road,High,Clear,Evening,Medium,Arterial,2,False,True,False,0.3776
